index_code,date,open,close,low,high,volume,money,change,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh000001,2014-12-31,3172.6,3234.68,3157.26,3239.36,40599852100,432000000000.0,0.021751745,3159.732,3032.5445,2645.672333333334,3164.3527421691742,3012.078634641889,2729.84241272627
sh000001,2014-12-30,3160.8,3165.82,3130.35,3190.3,39772532000,437000000000.0,-0.000694757,3107.3019999999997,3009.787,2631.4741666666664,3129.1891132537617,2988.646911972614,2712.729272375669
sh000001,2014-12-29,3212.56,3168.02,3126.94,3223.86,51011143900,556000000000.0,0.003297755,3080.66,2989.6735,2618.108333333333,3110.8736698806424,2969.997113232889,2697.3702629903064
sh000001,2014-12-26,3078.01,3157.6,3064.18,3164.16,46070093200,489000000000.0,0.02768625,3072.546,2965.2805,2604.6031666666668,3082.3005048209634,2949.152598836351,2681.416032824343
sh000001,2014-12-25,2992.46,3072.54,2969.87,3073.35,37694777600,379000000000.0,0.033642699,3062.746,2941.5425000000005,2591.1051666666667,3044.6507572314454,2927.2107671349145,2665.274201553237
sh000001,2014-12-24,3039.21,2972.53,2934.91,3050.51,37680524600,379000000000.0,-0.019811305,3059.7419999999997,2919.44,2578.981166666667,3030.706135847168,2911.9129531491158,2651.4685796086324
sh000001,2014-12-23,3085.08,3032.61,3025.67,3136.84,43776240000,419000000000.0,-0.030322835,3077.44,2901.031,2568.498666666667,3059.794203770752,2905.5322113753386,2640.5851402776757
sh000001,2014-12-22,3129.27,3127.45,3090.51,3189.87,67937191500,624000000000.0,0.006063509,3075.222,2877.7805,2556.4505,3073.3863056561277,2892.155602046427,2627.296160275734
sh000001,2014-12-19,3053.08,3108.6,3018.42,3117.53,52107351100,516000000000.0,0.016704709,3040.416,2848.052,2542.4908333333337,3046.3544584841916,2867.3877706828926,2610.341790576765
sh000001,2014-12-18,3062.8,3057.52,3030.32,3089.79,43590495200,467000000000.0,-0.001143083,3006.3300000000004,2816.9615000000003,2529.505,3015.231687726288,2841.9970097021446,2593.4516794645924
sh000001,2014-12-17,3031.95,3061.02,2993.33,3076.6,54250317900,580000000000.0,0.013073561,2979.974,2786.7185,2517.1451666666667,2994.087531589432,2819.310379144476,2577.720547722633
sh000001,2014-12-16,2953.81,3021.52,2943.91,3021.9,45384272300,493000000000.0,0.023056991,2955.772,2756.2169999999996,2504.593,2960.621297384148,2793.867261159684,2561.3375130384466
sh000001,2014-12-15,2921.45,2953.42,2890.9,2960.23,40037169500,411000000000.0,0.00518962,2922.7219999999998,2727.9595,2492.510333333333,2930.1719460762215,2769.9038149659664,2545.7381043345567
sh000001,2014-12-12,2929.36,2938.17,2914.96,2962.51,40948081100,420000000000.0,0.004248493,2936.0899999999997,2703.989,2482.2723333333333,2918.5479191143318,2750.5863218044888,2531.9183768904445
sh000001,2014-12-11,2912.35,2925.74,2892.61,2965.68,48263273300,480000000000.0,-0.004851351,2935.986,2681.0215,2472.168666666667,2908.736878671498,2730.840671468119,2518.1471331961793
sh000001,2014-12-10,2855.94,2940.01,2807.68,2946.71,51288691300,535000000000.0,0.029316917,2930.73,2659.0150000000003,2461.934333333333,2900.2353180072473,2710.3249526752898,2504.330423530658
sh000001,2014-12-09,2992.49,2856.27,2834.59,3091.32,77199837900,793000000000.0,-0.054296355,2898.634,2636.7385,2451.572666666667,2880.34797701087,2686.147579272689,2489.5616217685333
sh000001,2014-12-08,2907.82,3020.26,2879.85,3041.66,58757089000,593000000000.0,0.028121486,2880.09,2617.4085000000005,2442.7436666666667,2892.3869655163053,2668.239956038235,2477.130827058531
sh000001,2014-12-05,2926.57,2937.65,2813.05,2978.03,64050029600,639000000000.0,0.013171781,2812.0700000000006,2590.079,2431.179833333333,2828.450448274458,2631.185214568576,2458.7196652426446
sh000001,2014-12-04,2783.47,2899.46,2772.43,2900.51,53268771800,509000000000.0,0.04314802,2761.108,2564.105,2420.6666666666665,2773.850672411687,2598.9257634705314,2442.484735530844
sh000001,2014-12-03,2768.68,2779.53,2733.87,2824.18,56212028100,530000000000.0,0.005782428,2707.3140000000003,2540.425,2410.486166666667,2711.0460086175303,2567.290580677956,2426.9940455318047
sh000001,2014-12-02,2667.82,2763.55,2665.69,2777.37,43773338100,397000000000.0,0.031113872,2672.278,2522.411,2401.9281666666666,2676.8040129262954,2544.9495891703723,2415.0436717469383
sh000001,2014-12-01,2691.73,2680.16,2668.84,2720.74,44679174100,401000000000.0,-0.000998943,2633.0879999999997,2505.7675,2393.1275000000005,2633.431019389443,2521.939019609359,2403.22989540686
sh000001,2014-11-28,2629.63,2682.84,2622.06,2683.18,46588003500,402000000000.0,0.019900885,2603.632,2493.261,2385.4115,2610.066529084165,2505.284179568239,2393.8424321795064
sh000001,2014-11-27,2615.37,2630.49,2599.11,2631.4,36407571900,339000000000.0,0.010037457,2564.422,2480.1279999999997,2377.2945000000004,2573.6797936262474,2486.5940932070007,2384.0459022398513
sh000001,2014-11-26,2572.65,2604.35,2570.4,2605.07,33712724900,317000000000.0,0.014312215,2528.8559999999998,2468.1575000000003,2370.2774999999997,2545.274690439371,2471.447155649843,2375.6918630730634
sh000001,2014-11-25,2532.0,2567.6,2527.08,2568.38,31431557200,282000000000.0,0.013706932,2498.184,2456.5915,2363.656833333333,2515.7370356590563,2457.457382560353,2367.9407379124123
sh000001,2014-11-24,2505.53,2532.88,2495.52,2546.75,36348583500,330000000000.0,0.018533122,2475.938,2445.1050000000005,2358.0180000000005,2489.805553488585,2445.8634228298642,2361.1726256404713
sh000001,2014-11-21,2452.64,2486.79,2446.65,2488.2,21223977400,198000000000.0,0.013915912,2464.1639999999998,2432.9829999999997,2353.150166666667,2468.268330232877,2436.7037831277444,2355.3520351740585
sh000001,2014-11-20,2443.28,2452.66,2437.48,2458.32,16549521300,151000000000.0,0.00068299,2462.57,2423.7575,2348.8779999999997,2459.0074953493154,2431.4315497727703,2350.8965097515193
sh000001,2014-11-19,2452.15,2450.99,2442.71,2461.49,18623577100,167000000000.0,-0.002190227,2469.1600000000003,2416.2455,2345.3371666666662,2462.181243023973,2429.1969760646407,2347.4468989590973
sh000001,2014-11-18,2474.18,2456.37,2449.81,2477.05,20106257000,175000000000.0,-0.00713134,2477.858,2410.0235000000002,2341.9095,2467.7768645359597,2426.9029735451295,2343.9369623275406
sh000001,2014-11-17,2506.86,2474.01,2472.45,2508.77,21568780000,199000000000.0,-0.001942453,2480.518,2404.188,2338.2945000000004,2473.48029680394,2423.801181286722,2340.1256717888236
sh000001,2014-11-14,2477.97,2478.82,2457.05,2481.03,22060761900,192000000000.0,-0.00272851,2480.45,2398.3239999999996,2334.1731666666665,2473.21544520591,2418.516042474798,2335.587218598659
sh000001,2014-11-13,2495.0,2485.61,2471.41,2507.74,29503705800,258000000000.0,-0.003555857,2468.32,2391.442,2329.6339999999996,2470.413167808865,2412.168257472145,2330.7318685431
sh000001,2014-11-12,2454.6,2494.48,2444.81,2494.92,25293385200,216000000000.0,0.01004303,2456.37,2384.9865,2325.255166666667,2462.814751713298,2404.4375477323706,2325.4817606776537
sh000001,2014-11-11,2483.65,2469.67,2445.96,2508.62,41190406500,331000000000.0,-0.001617029,2441.324,2378.9460000000004,2320.7071666666666,2446.9821275699464,2394.959394862094,2319.753004868245
sh000001,2014-11-10,2436.63,2473.67,2428.19,2474.16,30062820300,245000000000.0,0.022952058,2433.526,2373.4365,2316.6235,2435.6381913549194,2387.0951206370514,2314.6710710560187
sh000001,2014-11-07,2427.9,2418.17,2407.44,2454.42,29117224500,244000000000.0,-0.003171241,2424.798,2368.0535,2311.9694999999997,2416.622287032379,2377.981975440952,2309.2812749094323
sh000001,2014-11-06,2419.62,2425.86,2401.75,2426.89,22200508800,180000000000.0,0.002732247,2425.2,2365.8720000000003,2308.127833333333,2415.8484305485686,2373.7516570663156,2305.5901303087903
sh000001,2014-11-05,2432.17,2419.25,2415.5,2434.36,26360665400,202000000000.0,-0.004699514,2418.244,2364.0474999999997,2304.654666666667,2410.8426458228523,2368.266568336454,2301.5131840007466
sh000001,2014-11-04,2428.27,2430.68,2417.22,2435.22,30901303900,227000000000.0,0.000265429,2409.0,2362.2245,2301.333,2406.6389687342785,2362.8998913192386,2297.5221039004828
sh000001,2014-11-03,2425.23,2430.03,2418.17,2436.79,29882123500,227000000000.0,0.004071601,2390.438,2358.884,2297.8771666666667,2394.6184531014183,2355.7651430370533,2293.0082750527217
sh000001,2014-10-31,2393.18,2420.18,2384.48,2423.6,32576352200,250000000000.0,0.01217109,2362.52,2355.268,2293.798333333333,2376.9126796521273,2347.9477896725325,2288.3634688369466
sh000001,2014-10-30,2371.89,2391.08,2365.92,2397.26,29464594300,227000000000.0,0.007604624,2338.9399999999996,2351.645,2290.154666666667,2355.2790194781915,2340.344399111746,2283.8951098787434
sh000001,2014-10-29,2343.72,2373.03,2339.71,2381.64,26558868700,225000000000.0,0.015038897,2321.208,2349.346,2286.6573333333336,2337.378529217287,2335.0038095445616,2280.2617221170726
sh000001,2014-10-28,2294.01,2337.87,2294.01,2338.28,17859035700,158000000000.0,0.020709585,2311.9120000000003,2347.8735,2283.4933333333333,2319.5527938259306,2331.0010526545157,2277.1170332494817
sh000001,2014-10-27,2293.57,2290.44,2279.84,2293.64,13026156800,113000000000.0,-0.005144031,2312.27,2346.466,2280.828,2310.394190738896,2330.2780055655176,2275.057609644507
sh000001,2014-10-24,2303.08,2302.28,2296.66,2314.88,13222528100,114000000000.0,-5.99e-05,2325.528,2346.4375,2278.0975000000003,2320.3712861083445,2334.471479835572,2274.536172420671
sh000001,2014-10-23,2322.32,2302.42,2297.33,2329.93,16263630800,141000000000.0,-0.010373716,2333.308,2347.796,2274.8105,2329.416929162517,2337.860056660369,2273.5957031994244
sh000001,2014-10-22,2339.22,2326.55,2324.59,2352.12,15269842500,139000000000.0,-0.005600821,2344.124,2348.4715,2271.078333333333,2342.9153937437754,2341.5905889404075,2272.61860786656
sh000001,2014-10-21,2355.03,2339.66,2337.55,2361.65,16882828800,147000000000.0,-0.007243517,2353.548,2347.5385,2266.8938333333335,2351.0980906156633,2343.1738088288716,2270.7904240647217
sh000001,2014-10-20,2346.05,2356.73,2340.46,2357.51,16002230500,142000000000.0,0.006639376,2357.5119999999997,2345.3835,2262.140833333333,2356.8171359234952,2343.543683442437,2268.45586082503
